materia,curso_id,tipo_evaluacion_id,trimestre_id,titulo,descripcion,fecha_asignacion,fecha_entrega,nota_maxima,nota_minima_aprobacion,porcentaje_nota_final,permite_entrega_tardia,penalizacion_tardio
Matemáticas,1,2,6,PRÁCTICO 5,Práctico 5 de Matemáticas,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Matemáticas,1,2,6,PRÁCTICO 6,Práctico 6 de Matemáticas,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Lenguaje,1,1,4,PARCIAL 1,Parcial 1 de Lenguaje,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Lenguaje,1,1,4,PARCIAL 2,Parcial 2 de Lenguaje,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Lenguaje,1,1,4,PARCIAL 3,Parcial 3 de Lenguaje,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Lenguaje,1,2,4,PRÁCTICO 1,Práctico 1 de Lenguaje,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,4,PRÁCTICO 2,Práctico 2 de Lenguaje,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,4,PRÁCTICO 3,Práctico 3 de Lenguaje,2022-03-10,2022-03-14,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,4,PRÁCTICO 4,Práctico 4 de Lenguaje,2022-03-13,2022-03-17,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,4,PRÁCTICO 5,Práctico 5 de Lenguaje,2022-03-16,2022-03-20,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,4,PRÁCTICO 6,Práctico 6 de Lenguaje,2022-03-19,2022-03-23,100.0,51.0,5.0,True,10.0
Lenguaje,1,1,5,PARCIAL 1,Parcial 1 de Lenguaje,2022-06-11,2022-06-16,100.0,51.0,20.0,True,10.0
Lenguaje,1,1,5,PARCIAL 2,Parcial 2 de Lenguaje,2022-06-21,2022-06-26,100.0,51.0,20.0,True,10.0
Lenguaje,1,1,5,PARCIAL 3,Parcial 3 de Lenguaje,2022-07-01,2022-07-06,100.0,51.0,20.0,True,10.0
Lenguaje,1,2,5,PRÁCTICO 1,Práctico 1 de Lenguaje,2022-06-04,2022-06-08,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,5,PRÁCTICO 2,Práctico 2 de Lenguaje,2022-06-07,2022-06-11,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,5,PRÁCTICO 3,Práctico 3 de Lenguaje,2022-06-10,2022-06-14,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,5,PRÁCTICO 4,Práctico 4 de Lenguaje,2022-06-13,2022-06-17,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,5,PRÁCTICO 5,Práctico 5 de Lenguaje,2022-06-16,2022-06-20,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,5,PRÁCTICO 6,Práctico 6 de Lenguaje,2022-06-19,2022-06-23,100.0,51.0,5.0,True,10.0
Lenguaje,1,1,6,PARCIAL 1,Parcial 1 de Lenguaje,2022-10-11,2022-10-16,100.0,51.0,20.0,True,10.0
Lenguaje,1,1,6,PARCIAL 2,Parcial 2 de Lenguaje,2022-10-21,2022-10-26,100.0,51.0,20.0,True,10.0
Lenguaje,1,1,6,PARCIAL 3,Parcial 3 de Lenguaje,2022-10-31,2022-11-05,100.0,51.0,20.0,True,10.0
Lenguaje,1,2,6,PRÁCTICO 1,Práctico 1 de Lenguaje,2022-10-04,2022-10-08,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,6,PRÁCTICO 2,Práctico 2 de Lenguaje,2022-10-07,2022-10-11,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,6,PRÁCTICO 3,Práctico 3 de Lenguaje,2022-10-10,2022-10-14,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,6,PRÁCTICO 4,Práctico 4 de Lenguaje,2022-10-13,2022-10-17,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,6,PRÁCTICO 5,Práctico 5 de Lenguaje,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Lenguaje,1,2,6,PRÁCTICO 6,Práctico 6 de Lenguaje,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,1,4,PARCIAL 1,Parcial 1 de Ciencias Naturales,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,1,4,PARCIAL 2,Parcial 2 de Ciencias Naturales,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,1,4,PARCIAL 3,Parcial 3 de Ciencias Naturales,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,2,4,PRÁCTICO 1,Práctico 1 de Ciencias Naturales,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,4,PRÁCTICO 2,Práctico 2 de Ciencias Naturales,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,4,PRÁCTICO 3,Práctico 3 de Ciencias Naturales,2022-03-10,2022-03-14,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,4,PRÁCTICO 4,Práctico 4 de Ciencias Naturales,2022-03-13,2022-03-17,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,4,PRÁCTICO 5,Práctico 5 de Ciencias Naturales,2022-03-16,2022-03-20,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,4,PRÁCTICO 6,Práctico 6 de Ciencias Naturales,2022-03-19,2022-03-23,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,1,5,PARCIAL 1,Parcial 1 de Ciencias Naturales,2022-06-11,2022-06-16,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,1,5,PARCIAL 2,Parcial 2 de Ciencias Naturales,2022-06-21,2022-06-26,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,1,5,PARCIAL 3,Parcial 3 de Ciencias Naturales,2022-07-01,2022-07-06,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,2,5,PRÁCTICO 1,Práctico 1 de Ciencias Naturales,2022-06-04,2022-06-08,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,5,PRÁCTICO 2,Práctico 2 de Ciencias Naturales,2022-06-07,2022-06-11,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,5,PRÁCTICO 3,Práctico 3 de Ciencias Naturales,2022-06-10,2022-06-14,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,5,PRÁCTICO 4,Práctico 4 de Ciencias Naturales,2022-06-13,2022-06-17,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,5,PRÁCTICO 5,Práctico 5 de Ciencias Naturales,2022-06-16,2022-06-20,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,5,PRÁCTICO 6,Práctico 6 de Ciencias Naturales,2022-06-19,2022-06-23,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,1,6,PARCIAL 1,Parcial 1 de Ciencias Naturales,2022-10-11,2022-10-16,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,1,6,PARCIAL 2,Parcial 2 de Ciencias Naturales,2022-10-21,2022-10-26,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,1,6,PARCIAL 3,Parcial 3 de Ciencias Naturales,2022-10-31,2022-11-05,100.0,51.0,20.0,True,10.0
Ciencias Naturales,1,2,6,PRÁCTICO 1,Práctico 1 de Ciencias Naturales,2022-10-04,2022-10-08,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,6,PRÁCTICO 2,Práctico 2 de Ciencias Naturales,2022-10-07,2022-10-11,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,6,PRÁCTICO 3,Práctico 3 de Ciencias Naturales,2022-10-10,2022-10-14,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,6,PRÁCTICO 4,Práctico 4 de Ciencias Naturales,2022-10-13,2022-10-17,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,6,PRÁCTICO 5,Práctico 5 de Ciencias Naturales,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Ciencias Naturales,1,2,6,PRÁCTICO 6,Práctico 6 de Ciencias Naturales,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,1,4,PARCIAL 1,Parcial 1 de Ciencias Sociales,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,1,4,PARCIAL 2,Parcial 2 de Ciencias Sociales,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,1,4,PARCIAL 3,Parcial 3 de Ciencias Sociales,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,2,4,PRÁCTICO 1,Práctico 1 de Ciencias Sociales,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,4,PRÁCTICO 2,Práctico 2 de Ciencias Sociales,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,4,PRÁCTICO 3,Práctico 3 de Ciencias Sociales,2022-03-10,2022-03-14,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,4,PRÁCTICO 4,Práctico 4 de Ciencias Sociales,2022-03-13,2022-03-17,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,4,PRÁCTICO 5,Práctico 5 de Ciencias Sociales,2022-03-16,2022-03-20,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,4,PRÁCTICO 6,Práctico 6 de Ciencias Sociales,2022-03-19,2022-03-23,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,1,5,PARCIAL 1,Parcial 1 de Ciencias Sociales,2022-06-11,2022-06-16,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,1,5,PARCIAL 2,Parcial 2 de Ciencias Sociales,2022-06-21,2022-06-26,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,1,5,PARCIAL 3,Parcial 3 de Ciencias Sociales,2022-07-01,2022-07-06,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,2,5,PRÁCTICO 1,Práctico 1 de Ciencias Sociales,2022-06-04,2022-06-08,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,5,PRÁCTICO 2,Práctico 2 de Ciencias Sociales,2022-06-07,2022-06-11,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,5,PRÁCTICO 3,Práctico 3 de Ciencias Sociales,2022-06-10,2022-06-14,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,5,PRÁCTICO 4,Práctico 4 de Ciencias Sociales,2022-06-13,2022-06-17,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,5,PRÁCTICO 5,Práctico 5 de Ciencias Sociales,2022-06-16,2022-06-20,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,5,PRÁCTICO 6,Práctico 6 de Ciencias Sociales,2022-06-19,2022-06-23,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,1,6,PARCIAL 1,Parcial 1 de Ciencias Sociales,2022-10-11,2022-10-16,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,1,6,PARCIAL 2,Parcial 2 de Ciencias Sociales,2022-10-21,2022-10-26,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,1,6,PARCIAL 3,Parcial 3 de Ciencias Sociales,2022-10-31,2022-11-05,100.0,51.0,20.0,True,10.0
Ciencias Sociales,1,2,6,PRÁCTICO 1,Práctico 1 de Ciencias Sociales,2022-10-04,2022-10-08,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,6,PRÁCTICO 2,Práctico 2 de Ciencias Sociales,2022-10-07,2022-10-11,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,6,PRÁCTICO 3,Práctico 3 de Ciencias Sociales,2022-10-10,2022-10-14,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,6,PRÁCTICO 4,Práctico 4 de Ciencias Sociales,2022-10-13,2022-10-17,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,6,PRÁCTICO 5,Práctico 5 de Ciencias Sociales,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Ciencias Sociales,1,2,6,PRÁCTICO 6,Práctico 6 de Ciencias Sociales,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Educación Física,1,1,4,PARCIAL 1,Parcial 1 de Educación Física,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Educación Física,1,1,4,PARCIAL 2,Parcial 2 de Educación Física,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Educación Física,1,1,4,PARCIAL 3,Parcial 3 de Educación Física,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Educación Física,1,2,4,PRÁCTICO 1,Práctico 1 de Educación Física,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Educación Física,1,2,4,PRÁCTICO 2,Práctico 2 de Educación Física,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
Educación Física,1,2,4,PRÁCTICO 3,Práctico 3 de Educación Física,2022-03-10,2022-03-14,100.0,51.0,5.0,True,10.0
Educación Física,1,2,4,PRÁCTICO 4,Práctico 4 de Educación Física,2022-03-13,2022-03-17,100.0,51.0,5.0,True,10.0
Educación Física,1,2,4,PRÁCTICO 5,Práctico 5 de Educación Física,2022-03-16,2022-03-20,100.0,51.0,5.0,True,10.0
Educación Física,1,2,4,PRÁCTICO 6,Práctico 6 de Educación Física,2022-03-19,2022-03-23,100.0,51.0,5.0,True,10.0
Educación Física,1,1,5,PARCIAL 1,Parcial 1 de Educación Física,2022-06-11,2022-06-16,100.0,51.0,20.0,True,10.0
Educación Física,1,1,5,PARCIAL 2,Parcial 2 de Educación Física,2022-06-21,2022-06-26,100.0,51.0,20.0,True,10.0
Educación Física,1,1,5,PARCIAL 3,Parcial 3 de Educación Física,2022-07-01,2022-07-06,100.0,51.0,20.0,True,10.0
Educación Física,1,2,5,PRÁCTICO 1,Práctico 1 de Educación Física,2022-06-04,2022-06-08,100.0,51.0,5.0,True,10.0
Educación Física,1,2,5,PRÁCTICO 2,Práctico 2 de Educación Física,2022-06-07,2022-06-11,100.0,51.0,5.0,True,10.0
Educación Física,1,2,5,PRÁCTICO 3,Práctico 3 de Educación Física,2022-06-10,2022-06-14,100.0,51.0,5.0,True,10.0
Educación Física,1,2,5,PRÁCTICO 4,Práctico 4 de Educación Física,2022-06-13,2022-06-17,100.0,51.0,5.0,True,10.0
Educación Física,1,2,5,PRÁCTICO 5,Práctico 5 de Educación Física,2022-06-16,2022-06-20,100.0,51.0,5.0,True,10.0
Educación Física,1,2,5,PRÁCTICO 6,Práctico 6 de Educación Física,2022-06-19,2022-06-23,100.0,51.0,5.0,True,10.0
Educación Física,1,1,6,PARCIAL 1,Parcial 1 de Educación Física,2022-10-11,2022-10-16,100.0,51.0,20.0,True,10.0
Educación Física,1,1,6,PARCIAL 2,Parcial 2 de Educación Física,2022-10-21,2022-10-26,100.0,51.0,20.0,True,10.0
Educación Física,1,1,6,PARCIAL 3,Parcial 3 de Educación Física,2022-10-31,2022-11-05,100.0,51.0,20.0,True,10.0
Educación Física,1,2,6,PRÁCTICO 1,Práctico 1 de Educación Física,2022-10-04,2022-10-08,100.0,51.0,5.0,True,10.0
Educación Física,1,2,6,PRÁCTICO 2,Práctico 2 de Educación Física,2022-10-07,2022-10-11,100.0,51.0,5.0,True,10.0
Educación Física,1,2,6,PRÁCTICO 3,Práctico 3 de Educación Física,2022-10-10,2022-10-14,100.0,51.0,5.0,True,10.0
Educación Física,1,2,6,PRÁCTICO 4,Práctico 4 de Educación Física,2022-10-13,2022-10-17,100.0,51.0,5.0,True,10.0
Educación Física,1,2,6,PRÁCTICO 5,Práctico 5 de Educación Física,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Educación Física,1,2,6,PRÁCTICO 6,Práctico 6 de Educación Física,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,1,4,PARCIAL 1,Parcial 1 de Artes Plásticas,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,1,4,PARCIAL 2,Parcial 2 de Artes Plásticas,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,1,4,PARCIAL 3,Parcial 3 de Artes Plásticas,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,2,4,PRÁCTICO 1,Práctico 1 de Artes Plásticas,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,4,PRÁCTICO 2,Práctico 2 de Artes Plásticas,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,4,PRÁCTICO 3,Práctico 3 de Artes Plásticas,2022-03-10,2022-03-14,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,4,PRÁCTICO 4,Práctico 4 de Artes Plásticas,2022-03-13,2022-03-17,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,4,PRÁCTICO 5,Práctico 5 de Artes Plásticas,2022-03-16,2022-03-20,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,4,PRÁCTICO 6,Práctico 6 de Artes Plásticas,2022-03-19,2022-03-23,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,1,5,PARCIAL 1,Parcial 1 de Artes Plásticas,2022-06-11,2022-06-16,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,1,5,PARCIAL 2,Parcial 2 de Artes Plásticas,2022-06-21,2022-06-26,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,1,5,PARCIAL 3,Parcial 3 de Artes Plásticas,2022-07-01,2022-07-06,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,2,5,PRÁCTICO 1,Práctico 1 de Artes Plásticas,2022-06-04,2022-06-08,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,5,PRÁCTICO 2,Práctico 2 de Artes Plásticas,2022-06-07,2022-06-11,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,5,PRÁCTICO 3,Práctico 3 de Artes Plásticas,2022-06-10,2022-06-14,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,5,PRÁCTICO 4,Práctico 4 de Artes Plásticas,2022-06-13,2022-06-17,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,5,PRÁCTICO 5,Práctico 5 de Artes Plásticas,2022-06-16,2022-06-20,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,5,PRÁCTICO 6,Práctico 6 de Artes Plásticas,2022-06-19,2022-06-23,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,1,6,PARCIAL 1,Parcial 1 de Artes Plásticas,2022-10-11,2022-10-16,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,1,6,PARCIAL 2,Parcial 2 de Artes Plásticas,2022-10-21,2022-10-26,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,1,6,PARCIAL 3,Parcial 3 de Artes Plásticas,2022-10-31,2022-11-05,100.0,51.0,20.0,True,10.0
Artes Plásticas,1,2,6,PRÁCTICO 1,Práctico 1 de Artes Plásticas,2022-10-04,2022-10-08,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,6,PRÁCTICO 2,Práctico 2 de Artes Plásticas,2022-10-07,2022-10-11,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,6,PRÁCTICO 3,Práctico 3 de Artes Plásticas,2022-10-10,2022-10-14,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,6,PRÁCTICO 4,Práctico 4 de Artes Plásticas,2022-10-13,2022-10-17,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,6,PRÁCTICO 5,Práctico 5 de Artes Plásticas,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Artes Plásticas,1,2,6,PRÁCTICO 6,Práctico 6 de Artes Plásticas,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Música,1,1,4,PARCIAL 1,Parcial 1 de Música,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Música,1,1,4,PARCIAL 2,Parcial 2 de Música,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Música,1,1,4,PARCIAL 3,Parcial 3 de Música,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Música,1,2,4,PRÁCTICO 1,Práctico 1 de Música,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Música,1,2,4,PRÁCTICO 2,Práctico 2 de Música,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
Música,1,2,4,PRÁCTICO 3,Práctico 3 de Música,2022-03-10,2022-03-14,100.0,51.0,5.0,True,10.0
Música,1,2,4,PRÁCTICO 4,Práctico 4 de Música,2022-03-13,2022-03-17,100.0,51.0,5.0,True,10.0
Música,1,2,4,PRÁCTICO 5,Práctico 5 de Música,2022-03-16,2022-03-20,100.0,51.0,5.0,True,10.0
Música,1,2,4,PRÁCTICO 6,Práctico 6 de Música,2022-03-19,2022-03-23,100.0,51.0,5.0,True,10.0
Música,1,1,5,PARCIAL 1,Parcial 1 de Música,2022-06-11,2022-06-16,100.0,51.0,20.0,True,10.0
Música,1,1,5,PARCIAL 2,Parcial 2 de Música,2022-06-21,2022-06-26,100.0,51.0,20.0,True,10.0
Música,1,1,5,PARCIAL 3,Parcial 3 de Música,2022-07-01,2022-07-06,100.0,51.0,20.0,True,10.0
Música,1,2,5,PRÁCTICO 1,Práctico 1 de Música,2022-06-04,2022-06-08,100.0,51.0,5.0,True,10.0
Música,1,2,5,PRÁCTICO 2,Práctico 2 de Música,2022-06-07,2022-06-11,100.0,51.0,5.0,True,10.0
Música,1,2,5,PRÁCTICO 3,Práctico 3 de Música,2022-06-10,2022-06-14,100.0,51.0,5.0,True,10.0
Música,1,2,5,PRÁCTICO 4,Práctico 4 de Música,2022-06-13,2022-06-17,100.0,51.0,5.0,True,10.0
Música,1,2,5,PRÁCTICO 5,Práctico 5 de Música,2022-06-16,2022-06-20,100.0,51.0,5.0,True,10.0
Música,1,2,5,PRÁCTICO 6,Práctico 6 de Música,2022-06-19,2022-06-23,100.0,51.0,5.0,True,10.0
Música,1,1,6,PARCIAL 1,Parcial 1 de Música,2022-10-11,2022-10-16,100.0,51.0,20.0,True,10.0
Música,1,1,6,PARCIAL 2,Parcial 2 de Música,2022-10-21,2022-10-26,100.0,51.0,20.0,True,10.0
Música,1,1,6,PARCIAL 3,Parcial 3 de Música,2022-10-31,2022-11-05,100.0,51.0,20.0,True,10.0
Música,1,2,6,PRÁCTICO 1,Práctico 1 de Música,2022-10-04,2022-10-08,100.0,51.0,5.0,True,10.0
Música,1,2,6,PRÁCTICO 2,Práctico 2 de Música,2022-10-07,2022-10-11,100.0,51.0,5.0,True,10.0
Música,1,2,6,PRÁCTICO 3,Práctico 3 de Música,2022-10-10,2022-10-14,100.0,51.0,5.0,True,10.0
Música,1,2,6,PRÁCTICO 4,Práctico 4 de Música,2022-10-13,2022-10-17,100.0,51.0,5.0,True,10.0
Música,1,2,6,PRÁCTICO 5,Práctico 5 de Música,2022-10-16,2022-10-20,100.0,51.0,5.0,True,10.0
Música,1,2,6,PRÁCTICO 6,Práctico 6 de Música,2022-10-19,2022-10-23,100.0,51.0,5.0,True,10.0
Religión,1,1,4,PARCIAL 1,Parcial 1 de Religión,2022-03-11,2022-03-16,100.0,51.0,20.0,True,10.0
Religión,1,1,4,PARCIAL 2,Parcial 2 de Religión,2022-03-21,2022-03-26,100.0,51.0,20.0,True,10.0
Religión,1,1,4,PARCIAL 3,Parcial 3 de Religión,2022-03-31,2022-04-05,100.0,51.0,20.0,True,10.0
Religión,1,2,4,PRÁCTICO 1,Práctico 1 de Religión,2022-03-04,2022-03-08,100.0,51.0,5.0,True,10.0
Religión,1,2,4,PRÁCTICO 2,Práctico 2 de Religión,2022-03-07,2022-03-11,100.0,51.0,5.0,True,10.0
