materia,curso_id,tipo_evaluacion_id,trimestre_id,titulo,descripcion,porcentaje_nota_final,fecha_registro,criterios_participacion,escala_calificacion
Matemáticas,1,3,6,PARTICIPACION 4,Participación en Matemáticas - Tercer Trimestre 2022,2.5,2022-11-28,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,1,3,4,PARTICIPACION 1,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-02-27,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,1,3,4,PARTICIPACION 2,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-04-01,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,1,3,4,PARTICIPACION 3,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-04-27,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Lenguaje,1,3,4,PARTICIPACION 4,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-04-02,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,1,3,5,PARTICIPACION 1,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-07-04,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",CUALITATIVA
Lenguaje,1,3,5,PARTICIPACION 2,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-05-16,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,1,3,5,PARTICIPACION 3,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-07-15,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,1,3,5,PARTICIPACION 4,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-08-07,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Lenguaje,1,3,6,PARTICIPACION 1,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-10-20,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,1,3,6,PARTICIPACION 2,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-09-17,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,1,3,6,PARTICIPACION 3,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-09-27,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,1,3,6,PARTICIPACION 4,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-09-06,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Ciencias Naturales,1,3,4,PARTICIPACION 1,Participación en Ciencias Naturales - Primer Trimestre 2022,2.5,2022-03-02,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Ciencias Naturales,1,3,4,PARTICIPACION 2,Participación en Ciencias Naturales - Primer Trimestre 2022,2.5,2022-04-20,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Ciencias Naturales,1,3,4,PARTICIPACION 3,Participación en Ciencias Naturales - Primer Trimestre 2022,2.5,2022-04-04,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Ciencias Naturales,1,3,4,PARTICIPACION 4,Participación en Ciencias Naturales - Primer Trimestre 2022,2.5,2022-02-24,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Ciencias Naturales,1,3,5,PARTICIPACION 1,Participación en Ciencias Naturales - Segundo Trimestre 2022,2.5,2022-07-30,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Ciencias Naturales,1,3,5,PARTICIPACION 2,Participación en Ciencias Naturales - Segundo Trimestre 2022,2.5,2022-06-06,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Ciencias Naturales,1,3,5,PARTICIPACION 3,Participación en Ciencias Naturales - Segundo Trimestre 2022,2.5,2022-06-07,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Ciencias Naturales,1,3,5,PARTICIPACION 4,Participación en Ciencias Naturales - Segundo Trimestre 2022,2.5,2022-06-28,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Ciencias Naturales,1,3,6,PARTICIPACION 1,Participación en Ciencias Naturales - Tercer Trimestre 2022,2.5,2022-11-15,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Ciencias Naturales,1,3,6,PARTICIPACION 2,Participación en Ciencias Naturales - Tercer Trimestre 2022,2.5,2022-10-18,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Ciencias Naturales,1,3,6,PARTICIPACION 3,Participación en Ciencias Naturales - Tercer Trimestre 2022,2.5,2022-10-23,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",CUALITATIVA
Ciencias Naturales,1,3,6,PARTICIPACION 4,Participación en Ciencias Naturales - Tercer Trimestre 2022,2.5,2022-11-27,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Ciencias Sociales,1,3,4,PARTICIPACION 1,Participación en Ciencias Sociales - Primer Trimestre 2022,2.5,2022-02-16,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Ciencias Sociales,1,3,4,PARTICIPACION 2,Participación en Ciencias Sociales - Primer Trimestre 2022,2.5,2022-04-12,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Ciencias Sociales,1,3,4,PARTICIPACION 3,Participación en Ciencias Sociales - Primer Trimestre 2022,2.5,2022-04-26,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",CUALITATIVA
Ciencias Sociales,1,3,4,PARTICIPACION 4,Participación en Ciencias Sociales - Primer Trimestre 2022,2.5,2022-02-24,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",CUALITATIVA
Ciencias Sociales,1,3,5,PARTICIPACION 1,Participación en Ciencias Sociales - Segundo Trimestre 2022,2.5,2022-05-04,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Ciencias Sociales,1,3,5,PARTICIPACION 2,Participación en Ciencias Sociales - Segundo Trimestre 2022,2.5,2022-07-07,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Ciencias Sociales,1,3,5,PARTICIPACION 3,Participación en Ciencias Sociales - Segundo Trimestre 2022,2.5,2022-07-01,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Ciencias Sociales,1,3,5,PARTICIPACION 4,Participación en Ciencias Sociales - Segundo Trimestre 2022,2.5,2022-05-01,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Ciencias Sociales,1,3,6,PARTICIPACION 1,Participación en Ciencias Sociales - Tercer Trimestre 2022,2.5,2022-11-24,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Ciencias Sociales,1,3,6,PARTICIPACION 2,Participación en Ciencias Sociales - Tercer Trimestre 2022,2.5,2022-10-11,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Ciencias Sociales,1,3,6,PARTICIPACION 3,Participación en Ciencias Sociales - Tercer Trimestre 2022,2.5,2022-11-29,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Ciencias Sociales,1,3,6,PARTICIPACION 4,Participación en Ciencias Sociales - Tercer Trimestre 2022,2.5,2022-10-05,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Educación Física,1,3,4,PARTICIPACION 1,Participación en Educación Física - Primer Trimestre 2022,2.5,2022-03-08,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Educación Física,1,3,4,PARTICIPACION 2,Participación en Educación Física - Primer Trimestre 2022,2.5,2022-03-23,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",CUALITATIVA
Educación Física,1,3,4,PARTICIPACION 3,Participación en Educación Física - Primer Trimestre 2022,2.5,2022-03-21,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Educación Física,1,3,4,PARTICIPACION 4,Participación en Educación Física - Primer Trimestre 2022,2.5,2022-03-18,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Educación Física,1,3,5,PARTICIPACION 1,Participación en Educación Física - Segundo Trimestre 2022,2.5,2022-07-20,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Educación Física,1,3,5,PARTICIPACION 2,Participación en Educación Física - Segundo Trimestre 2022,2.5,2022-07-18,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Educación Física,1,3,5,PARTICIPACION 3,Participación en Educación Física - Segundo Trimestre 2022,2.5,2022-08-28,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Educación Física,1,3,5,PARTICIPACION 4,Participación en Educación Física - Segundo Trimestre 2022,2.5,2022-05-02,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Educación Física,1,3,6,PARTICIPACION 1,Participación en Educación Física - Tercer Trimestre 2022,2.5,2022-09-08,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",CUALITATIVA
Educación Física,1,3,6,PARTICIPACION 2,Participación en Educación Física - Tercer Trimestre 2022,2.5,2022-11-21,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Educación Física,1,3,6,PARTICIPACION 3,Participación en Educación Física - Tercer Trimestre 2022,2.5,2022-09-23,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Educación Física,1,3,6,PARTICIPACION 4,Participación en Educación Física - Tercer Trimestre 2022,2.5,2022-09-22,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Artes Plásticas,1,3,4,PARTICIPACION 1,Participación en Artes Plásticas - Primer Trimestre 2022,2.5,2022-04-11,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",CUALITATIVA
Artes Plásticas,1,3,4,PARTICIPACION 2,Participación en Artes Plásticas - Primer Trimestre 2022,2.5,2022-03-19,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Artes Plásticas,1,3,4,PARTICIPACION 3,Participación en Artes Plásticas - Primer Trimestre 2022,2.5,2022-02-13,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Artes Plásticas,1,3,4,PARTICIPACION 4,Participación en Artes Plásticas - Primer Trimestre 2022,2.5,2022-03-13,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Artes Plásticas,1,3,5,PARTICIPACION 1,Participación en Artes Plásticas - Segundo Trimestre 2022,2.5,2022-07-31,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",CUALITATIVA
Artes Plásticas,1,3,5,PARTICIPACION 2,Participación en Artes Plásticas - Segundo Trimestre 2022,2.5,2022-05-14,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Artes Plásticas,1,3,5,PARTICIPACION 3,Participación en Artes Plásticas - Segundo Trimestre 2022,2.5,2022-08-01,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Artes Plásticas,1,3,5,PARTICIPACION 4,Participación en Artes Plásticas - Segundo Trimestre 2022,2.5,2022-08-31,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Artes Plásticas,1,3,6,PARTICIPACION 1,Participación en Artes Plásticas - Tercer Trimestre 2022,2.5,2022-11-17,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Artes Plásticas,1,3,6,PARTICIPACION 2,Participación en Artes Plásticas - Tercer Trimestre 2022,2.5,2022-12-02,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Artes Plásticas,1,3,6,PARTICIPACION 3,Participación en Artes Plásticas - Tercer Trimestre 2022,2.5,2022-09-18,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",CUALITATIVA
Artes Plásticas,1,3,6,PARTICIPACION 4,Participación en Artes Plásticas - Tercer Trimestre 2022,2.5,2022-10-03,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Música,1,3,4,PARTICIPACION 1,Participación en Música - Primer Trimestre 2022,2.5,2022-03-15,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Música,1,3,4,PARTICIPACION 2,Participación en Música - Primer Trimestre 2022,2.5,2022-03-27,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Música,1,3,4,PARTICIPACION 3,Participación en Música - Primer Trimestre 2022,2.5,2022-03-03,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Música,1,3,4,PARTICIPACION 4,Participación en Música - Primer Trimestre 2022,2.5,2022-04-14,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",CUALITATIVA
Música,1,3,5,PARTICIPACION 1,Participación en Música - Segundo Trimestre 2022,2.5,2022-08-02,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Música,1,3,5,PARTICIPACION 2,Participación en Música - Segundo Trimestre 2022,2.5,2022-06-11,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Música,1,3,5,PARTICIPACION 3,Participación en Música - Segundo Trimestre 2022,2.5,2022-08-23,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Música,1,3,5,PARTICIPACION 4,Participación en Música - Segundo Trimestre 2022,2.5,2022-05-30,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Música,1,3,6,PARTICIPACION 1,Participación en Música - Tercer Trimestre 2022,2.5,2022-12-11,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Música,1,3,6,PARTICIPACION 2,Participación en Música - Tercer Trimestre 2022,2.5,2022-11-21,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",CUALITATIVA
Música,1,3,6,PARTICIPACION 3,Participación en Música - Tercer Trimestre 2022,2.5,2022-09-20,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Música,1,3,6,PARTICIPACION 4,Participación en Música - Tercer Trimestre 2022,2.5,2022-12-13,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Religión,1,3,4,PARTICIPACION 1,Participación en Religión - Primer Trimestre 2022,2.5,2022-04-09,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",CUALITATIVA
Religión,1,3,4,PARTICIPACION 2,Participación en Religión - Primer Trimestre 2022,2.5,2022-03-27,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Religión,1,3,4,PARTICIPACION 3,Participación en Religión - Primer Trimestre 2022,2.5,2022-03-26,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",CUALITATIVA
Religión,1,3,4,PARTICIPACION 4,Participación en Religión - Primer Trimestre 2022,2.5,2022-02-13,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",CUALITATIVA
Religión,1,3,5,PARTICIPACION 1,Participación en Religión - Segundo Trimestre 2022,2.5,2022-08-28,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Religión,1,3,5,PARTICIPACION 2,Participación en Religión - Segundo Trimestre 2022,2.5,2022-06-02,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Religión,1,3,5,PARTICIPACION 3,Participación en Religión - Segundo Trimestre 2022,2.5,2022-05-13,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",CUALITATIVA
Religión,1,3,5,PARTICIPACION 4,Participación en Religión - Segundo Trimestre 2022,2.5,2022-08-04,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Religión,1,3,6,PARTICIPACION 1,Participación en Religión - Tercer Trimestre 2022,2.5,2022-11-15,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Religión,1,3,6,PARTICIPACION 2,Participación en Religión - Tercer Trimestre 2022,2.5,2022-09-18,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Religión,1,3,6,PARTICIPACION 3,Participación en Religión - Tercer Trimestre 2022,2.5,2022-11-10,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Religión,1,3,6,PARTICIPACION 4,Participación en Religión - Tercer Trimestre 2022,2.5,2022-09-26,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Matemáticas,2,3,4,PARTICIPACION 1,Participación en Matemáticas - Primer Trimestre 2022,2.5,2022-03-03,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Matemáticas,2,3,4,PARTICIPACION 2,Participación en Matemáticas - Primer Trimestre 2022,2.5,2022-04-14,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Matemáticas,2,3,4,PARTICIPACION 3,Participación en Matemáticas - Primer Trimestre 2022,2.5,2022-04-06,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Matemáticas,2,3,4,PARTICIPACION 4,Participación en Matemáticas - Primer Trimestre 2022,2.5,2022-04-09,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Matemáticas,2,3,5,PARTICIPACION 1,Participación en Matemáticas - Segundo Trimestre 2022,2.5,2022-05-27,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Matemáticas,2,3,5,PARTICIPACION 2,Participación en Matemáticas - Segundo Trimestre 2022,2.5,2022-07-28,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Matemáticas,2,3,5,PARTICIPACION 3,Participación en Matemáticas - Segundo Trimestre 2022,2.5,2022-05-18,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Matemáticas,2,3,5,PARTICIPACION 4,Participación en Matemáticas - Segundo Trimestre 2022,2.5,2022-08-16,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Matemáticas,2,3,6,PARTICIPACION 1,Participación en Matemáticas - Tercer Trimestre 2022,2.5,2022-12-02,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Matemáticas,2,3,6,PARTICIPACION 2,Participación en Matemáticas - Tercer Trimestre 2022,2.5,2022-11-04,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Matemáticas,2,3,6,PARTICIPACION 3,Participación en Matemáticas - Tercer Trimestre 2022,2.5,2022-11-11,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Matemáticas,2,3,6,PARTICIPACION 4,Participación en Matemáticas - Tercer Trimestre 2022,2.5,2022-10-10,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Lenguaje,2,3,4,PARTICIPACION 1,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-02-12,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,2,3,4,PARTICIPACION 2,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-02-05,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",CUALITATIVA
Lenguaje,2,3,4,PARTICIPACION 3,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-04-05,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Lenguaje,2,3,4,PARTICIPACION 4,Participación en Lenguaje - Primer Trimestre 2022,2.5,2022-02-19,"Se evaluará: 1) Calidad de las intervenciones, 2) Frecuencia de participación, 3) Relevancia de los aportes",NUMERICA
Lenguaje,2,3,5,PARTICIPACION 1,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-06-03,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,2,3,5,PARTICIPACION 2,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-05-25,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Lenguaje,2,3,5,PARTICIPACION 3,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-07-08,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,2,3,5,PARTICIPACION 4,Participación en Lenguaje - Segundo Trimestre 2022,2.5,2022-07-17,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,2,3,6,PARTICIPACION 1,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-11-18,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",NUMERICA
Lenguaje,2,3,6,PARTICIPACION 2,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-09-24,"Criterios: 1) Participación activa, 2) Contribución al debate, 3) Habilidad para formular preguntas",NUMERICA
Lenguaje,2,3,6,PARTICIPACION 3,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-09-11,"Evaluación basada en: 1) Pertinencia de comentarios, 2) Capacidad de síntesis, 3) Análisis crítico",NUMERICA
Lenguaje,2,3,6,PARTICIPACION 4,Participación en Lenguaje - Tercer Trimestre 2022,2.5,2022-09-06,"Se valorará: 1) Iniciativa en el diálogo, 2) Respeto a opiniones diversas, 3) Claridad de expresión",CUALITATIVA
